,post_url,media_url,author,media_type,inferenceTime,object1,object2,object3,object4,object5
0,https://www.linkedin.com/feed/update/urn:li:activity:6711668899827515392/,https://media-exp3.licdn.com/dms/image/C4E22AQEIcNy3gzsRmA/feedshare-shrink_800/0/1600186561038?e=1629331200&v=beta&t=opPILINYjcUD2i-8j7QBMnAWeEwQfU30U0SK589Fvho,Applaudo Studios,Single image,1.3416023254394531,Poster,Animal,Horse,Clothing,Tree
0,https://www.linkedin.com/feed/update/urn:li:activity:6711302631609954304/,https://media-exp3.licdn.com/dms/image/C4E22AQGo5ViLtqUbuw/feedshare-shrink_800/0/1600099236867?e=1629331200&v=beta&t=OpoQX8Ki7-oOeMtRaVTfJP-0_OP_fvXYjFxnHVUWCtY,Applaudo Studios,Single image,1.2408473491668701,Clothing,Person,Human face,Poster,Toy
0,https://www.linkedin.com/feed/update/urn:li:activity:6711339186676383744/,https://media-exp3.licdn.com/dms/image/C4E22AQH6PDp3911mlg/feedshare-shrink_800/0/1600107951644?e=1629331200&v=beta&t=6Nm9PbMBrbmFMDy_igvpNzbqF7UaF5XF2YwKEVi5Q5Q,Applaudo Studios,Single image,0.6862835884094238,Poster,Clothing,Vehicle,Window,Wheel
0,https://www.linkedin.com/feed/update/urn:li:activity:6710576847404507136/,https://media-exp3.licdn.com/dms/image/C4E22AQH2lqVEWpksTw/feedshare-shrink_800/0/1599926195407?e=1629331200&v=beta&t=sr2x2jCDacaqRK2XDFQdcRrRWrrfj5v1PGh_axjiNWA,Applaudo Studios,Single image,1.3425076007843018,Human face,Man,Clothing,Human eye,Human nose
0,https://www.linkedin.com/feed/update/urn:li:activity:6710369268967497728/,https://media-exp3.licdn.com/dms/image/C4E22AQGLcL7kMiMwDw/feedshare-shrink_800/0/1599876705683?e=1629331200&v=beta&t=JC8NH1sqMWu1_QBc99uKGRourRxQ3pQbqJFurm8z0k4,Applaudo Studios,Single image,0.7559123039245605,Human face,Woman,Person,Clothing,Girl
0,https://www.linkedin.com/feed/update/urn:li:activity:6709789948179951616/,https://media-exp3.licdn.com/dms/image/C4D22AQE5Pa7N29e5IQ/feedshare-shrink_800/0/1599738584679?e=1629331200&v=beta&t=ZQpUUoyiziPsNtDAs-4SjDuANINKZ169q-H-edNjfsU,Javier Peña Capobianco,Single image,0.6273107528686523,Man,Clothing,Person,Office building,Human face
0,https://www.linkedin.com/feed/update/urn:li:activity:6709639079279026176/,https://media-exp3.licdn.com/dms/image/C4E22AQEnu0m9zkxjrQ/feedshare-shrink_800/0/1599702614920?e=1629331200&v=beta&t=T9LRd7vUnhdk8B5_zteMpsLXhQrVvKBT6I_RS8lbc24,Applaudo Studios,Single image,1.4001469612121582,Poster,Human face,Person,Clothing,Office supplies
0,https://www.linkedin.com/feed/update/urn:li:activity:6709273919435653120/,https://media-exp3.licdn.com/dms/image/C4E22AQED00BV-VsnwA/feedshare-shrink_800/0/1599615553842?e=1629331200&v=beta&t=G6PiBxZnpT4cYlbgi_n4shSAvJOivXpcvmVIcgEtF6M,Applaudo Studios,Single image,0.722923994064331,Poster,Human face,Clothing,Person,Human nose
0,https://www.linkedin.com/feed/update/urn:li:activity:6701686325306912768/,https://media-exp3.licdn.com/dms/image/C5622AQGA7yfGkcE7Hg/feedshare-shrink_800/0/1597806529829?e=1629331200&v=beta&t=wNz6A3FC_gPAZ8iCCUwjaX4-aEs8q5dZitVmvRgO_E4,Aracely Ocón,Single image,0.7648599147796631,Human face,Woman,Clothing,Person,Girl
0,https://www.linkedin.com/feed/update/urn:li:activity:6707801138026094593/,https://media-exp3.licdn.com/dms/image/C4E22AQH_cCoL82Nc_w/feedshare-shrink_800/0/1599264415710?e=1629331200&v=beta&t=ReNbWY-MokMN_mnQ0T3_XJH2ar9qsIu1v7uiKsvkqwk,Applaudo Studios,Single image,0.8207204341888428,Laptop,Computer keyboard,Computer monitor,Desk,Clothing
