,post_url,author,author_url,author_type,description,media_type,media_url,media_text
111,https://www.linkedin.com/feed/update/urn:li:activity:6785819994430169088/,ISTQB® - International Software Testing Qualifications Board,https://www.linkedin.com/company/istqb/,Company,"ISTQB® is happy to welcome APPLAUDO STUDIOS SA DE CV from El Salvador to its Partner Program!
APPLAUDO STUDIOS SA DE CV has joined the program at the Gold Partnership level.
To find out more about our new partner, see: https://buff.ly/2PRLGxj
To find out more about the ISTQB® Partner Program, see: https://buff.ly/3fA6bJy",Shared link outside LinkedIn,http://www.applaudostudios.com/,
112,https://www.linkedin.com/feed/update/urn:li:activity:6785003521747038208/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"As a Microsoft Gold Partner, we’re excited to be featured in the #BuildFor2030 campaign and proud to support the UN Sustainable Development Goals in creating opportunities for all. Learn more: https://bit.ly/3lRkpqC

#MSPartner #SDG2030 #GlobalGoals",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQHYnPbYMvBtrw/feedshare-shrink_800/0/1617670897637?e=1629331200&v=beta&t=irDkC9lrwo0ubjQG9a53GQYHg5sxjXuMMkZySas4aSs,"ApplaudoStudios

i “|
Together we can
create a gender-equal
